ID,angle,utensil,pills,sip,rating
B1-001,30,Cup,0,15.58,1
B1-001,30,Straw,0,10.6,1
B1-001,30,Straw,1,13.92,3
B1-001,30,Cup,1,24.46,3
B1-001,30,Straw,2,25.8,4
B1-001,30,Cup,2,26.75,3
B1-001,65,Cup,0,13.23,1
B1-001,65,Straw,0,16.4,1
B1-001,65,Straw,1,23.09,2
B1-001,65,Cup,1,26.81,1
B1-001,65,Straw,2,29.95,1
B1-001,65,Cup,2,38.83,1
B1-001,90,Cup,0,20.37,0
B1-001,90,Straw,0,30.01,0
B1-001,90,Straw,1,13.95,0
B1-001,90,Cup,1,16.35,0
B1-001,90,Straw,2,13.29,2
B1-001,90,Cup,2,13.11,2
B1-002,30,Cup,0,17,1
B1-002,30,Straw,0,10.17,1
B1-002,30,Straw,1,15.16,1
B1-002,30,Cup,1,21,1
B1-002,30,Straw,2,16.24,3
B1-002,30,Cup,2,16,2
B1-002,65,Cup,0,14.94,1
B1-002,65,Straw,0,13.5,1
B1-002,65,Straw,1,19.16,2
B1-002,65,Cup,1,28.69,1
B1-002,65,Straw,2,21.03,3
B1-002,65,Cup,2,25.91,2
B1-002,90,Cup,0,26.69,0
B1-002,90,Straw,0,26.1,0
B1-002,90,Straw,1,24.35,0
B1-002,90,Cup,1,34.09,0
B1-002,90,Straw,2,34.9,2
B1-002,90,Cup,2,41.88,2
B1-003,30,Cup,0,16.77,1
B1-003,30,Straw,0,17.8,2
B1-003,30,Straw,1,15.46,2
B1-003,30,Cup,1,20.14,2
B1-003,30,Straw,2,24.44,2
B1-003,30,Cup,2,22.41,4
B1-003,65,Cup,0,15.15,1
B1-003,65,Straw,0,14.22,1
B1-003,65,Straw,1,16,2
B1-003,65,Cup,1,35.52,2
B1-003,65,Straw,2,30.56,3
B1-003,65,Cup,2,35.75,2
B1-003,90,Cup,0,22.27,0
B1-003,90,Straw,0,30.38,0
B1-003,90,Straw,1,17.54,0
B1-003,90,Cup,1,13.27,0
B1-003,90,Straw,2,24.53,1
B1-003,90,Cup,2,28.59,1
C1-001,30,Cup,0,16,0
C1-001,30,Straw,0,17.09,0
C1-001,30,Straw,1,18.36,3
C1-001,30,Cup,1,15.12,3
C1-001,30,Straw,2,10.31,3
C1-001,30,Cup,2,18.12,5
C1-001,65,Cup,0,15.11,0
C1-001,65,Straw,0,15.12,0
C1-001,65,Straw,1,22.72,1
C1-001,65,Cup,1,26.29,0
C1-001,65,Straw,2,32.66,3
C1-001,65,Cup,2,40.84,1
C1-001,90,Cup,0,31.78,0
C1-001,90,Straw,0,39.3,0
C1-001,90,Straw,1,19.97,0
C1-001,90,Cup,1,25.15,0
C1-001,90,Straw,2,25.71,2
C1-001,90,Cup,2,29.25,2
C1-002,30,Cup,0,16.1,3
C1-002,30,Straw,0,17.62,2
C1-002,30,Straw,1,15.04,3
C1-002,30,Cup,1,21.74,3
C1-002,30,Straw,2,16.88,2
C1-002,30,Cup,2,31.1,0
C1-002,65,Cup,0,13.28,1
C1-002,65,Straw,0,15.6,0
C1-002,65,Straw,1,11.84,1
C1-002,65,Cup,1,9.47,0
C1-002,65,Straw,2,13.97,0
C1-002,65,Cup,2,18.99,1
C1-002,90,Cup,0,27.07,0
C1-002,90,Straw,0,25.7,0
C1-002,90,Straw,1,9.74,0
C1-002,90,Cup,1,9.33,0
